=== Overview ===
  Samples:     9027
  Total atoms: 7223483

=== Element Distribution ===
  Element       Count  Frequency
  ---------- -------- ----------
  O           4479283     0.6201
  Al           629983     0.0872
  Si           596117     0.0825
  P            551896     0.0764
  Li           142824     0.0198
  Ba           140136     0.0194
  Be           139887     0.0194
  Zn           139727     0.0193
  Ca           139631     0.0193
  Ti           133028     0.0184
  K            130971     0.0181

=== Atomic Number Density ===
  Mean: 0.074310 atoms/A^3
  Std:  0.005653 atoms/A^3
  Min:  0.059946 atoms/A^3
  Max:  0.098907 atoms/A^3

=== Property Statistics ===
  Property              Offset (mean)      Scale (std)              Min              Max
  ------------------ ---------------- ---------------- ---------------- ----------------
  E [GPa]                   75.661214        16.335574        33.538102       153.909847
  G [GPa]                   30.955612         6.416382        14.663702        58.689207
  alpha                      0.000032         0.000008         0.000003         0.000072
  Cp [J/kg/K]              563.962501        76.207638       324.036618       763.255092
  Cp [J/Mol/K]              13.030617         0.109106        12.214570        13.517432
  Tg [K]                  1457.813115       350.072253       467.655438      3532.439615
  Tm [K]                  2659.583862       406.004200      1122.610541      4176.608300
  Tb [K]                  5836.476022       791.804166      3625.722883      8604.702963
  xB                         0.646047         0.107246         0.156818         1.679884
  C11 [GPa]                 94.971766        21.602619        40.761074       197.929426
  C12 [GPa]                 35.418120         9.610049        10.608467        82.990464
  C44 [GPa]                 30.955612         6.416382        14.663702        58.689207
  C11 error                  4.539541         2.512524         0.090328        18.237619
  C12 error                  1.942324         0.890308         0.123598         7.532838
  C44 error                  1.678984         0.979922         0.012400         7.687553
  K [GPa]                   55.269335        13.464608        20.659336       120.392445
  nu                         0.222900         0.081591        -0.102788         0.679547
  id                      4646.784535      2656.480754         0.000000      9239.000000
  density [g/cm^3]           2.889397         0.338914         2.192521         4.202950
  Li ratio                   0.019773         0.030623         0.000000         0.190476
  Si ratio                   0.082515         0.071737         0.000000         0.333333
  Al ratio                   0.087234         0.079143         0.000000         0.400000
  O ratio                    0.620094         0.029417         0.523810         0.710163
  Ba ratio                   0.019400         0.029502         0.000000         0.174185
  Be ratio                   0.019366         0.029504         0.000000         0.174185
  Zn ratio                   0.019344         0.029501         0.000000         0.174185
  K ratio                    0.018132         0.028772         0.000000         0.190476
  Ca ratio                   0.019331         0.029467         0.000000         0.174185
  Ti ratio                   0.018414         0.027454         0.000000         0.147685
  P ratio                    0.076397         0.064407         0.000000         0.268657
