=== Overview ===
  Samples:     4
  Total atoms: 3204

=== Element Distribution ===
  Element       Count  Frequency
  ---------- -------- ----------
  O              2045     0.6383
  Si              977     0.3049
  Li              182     0.0568

=== Atomic Number Density ===
  Mean: 0.071120 atoms/A^3
  Std:  0.003636 atoms/A^3

=== Property Statistics ===
  Property              Offset (mean)      Scale (std)              Min              Max
  ------------------ ---------------- ---------------- ---------------- ----------------
  E [GPa]                   80.659325         2.951489        77.086968        84.921192
  G [GPa]                   33.898752         0.699945        33.020765        34.937050
  alpha                      0.000028         0.000004         0.000022         0.000032
  Cp [J/kg/K]              684.172481        28.904647       649.829335       725.919389
  Cp [J/Mol/K]              13.096385         0.102102        12.995927        13.251947
  Tg [K]                  2011.861232       562.414133      1385.705200      2893.057745
  Tm [K]                  3021.451363       302.086354      2773.423195      3531.719052
  Tb [K]                  5729.552047       452.397020      5222.234895      6370.777027
  xB                         0.578988         0.057483         0.510611         0.667422
  C11 [GPa]                 92.772605         4.409864        87.787755        99.402898
  C12 [GPa]                 26.909606         2.398291        24.512223        30.691985
  C44 [GPa]                 33.898752         0.699945        33.020765        34.937050
  C11 error                  3.237704         1.794904         1.032934         5.817957
  C12 error                  1.350881         0.858798         0.420997         2.728463
  C44 error                  1.865930         0.140846         1.763595         2.105260
  K [GPa]                   48.863939         3.064524        45.604067        53.595623
  nu                         0.190564         0.057228         0.103227         0.263809
  id                         1.500000         1.118034         0.000000         3.000000
  density [g/cm^3]           2.259969         0.039313         2.227879         2.326436
  Li ratio                   0.056804         0.043869         0.000000         0.117353
  Si ratio                   0.304931         0.021934         0.274657         0.333333
  Al ratio                   0.000000         0.000000         0.000000         0.000000
  O ratio                    0.638265         0.021934         0.607990         0.666667
  Ba ratio                   0.000000         0.000000         0.000000         0.000000
  Be ratio                   0.000000         0.000000         0.000000         0.000000
  Zn ratio                   0.000000         0.000000         0.000000         0.000000
  K ratio                    0.000000         0.000000         0.000000         0.000000
  Ca ratio                   0.000000         0.000000         0.000000         0.000000
  Ti ratio                   0.000000         0.000000         0.000000         0.000000
  P ratio                    0.000000         0.000000         0.000000         0.000000
